London SE3,"{'address': 'SE3 3, London, England', 'location': {'x': 0.0094632, 'y': 51.4660674}, 'score': 97.32, 'attributes': {}, 'extent': {'xmin': 0.0084632, 'ymin': 51.4650674, 'xmax': 0.0104632, 'ymax': 51.4670674}}"
"Gainesville, Florida","{'address': 'Gainesville, Florida', 'location': {'x': -82.3250209, 'y': 29.6519756}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -82.4460209, 'ymin': 29.5309756, 'xmax': -82.2040209, 'ymax': 29.7729756}}"
Chislehurst,"{'address': 'Chislehurst, Kent, England', 'location': {'x': 0.0690015, 'y': 51.4167919}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.0440015, 'ymin': 51.3917919, 'xmax': 0.0940015, 'ymax': 51.4417919}}"
"Restábal, Granada","{'address': 'Restabal, El Valle, Granada, Andalucía', 'location': {'x': -3.5828313, 'y': 36.9291146}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -3.5868313, 'ymin': 36.9251146, 'xmax': -3.5788313, 'ymax': 36.9331146}}"
Bradford on Avon,"{'address': 'Bradford-on-Avon, Wiltshire, England', 'location': {'x': -2.251882755, 'y': 51.345602431}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.266882755, 'ymin': 51.330602431, 'xmax': -2.236882755, 'ymax': 51.360602431}}"
"Kew Gardens, Surrey","{'address': 'Kew Gardens', 'location': {'x': -0.2925499, 'y': 51.4791034}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -0.2975499, 'ymin': 51.4741034, 'xmax': -0.2875499, 'ymax': 51.4841034}}"
University College Worcester,"{'address': 'College of the Holy Cross', 'location': {'x': -71.80755, 'y': 42.238806}, 'score': 98.29, 'attributes': {}, 'extent': {'xmin': -71.81355, 'ymin': 42.232806, 'xmax': -71.80155, 'ymax': 42.244806}}"
"Castelnau-de-Montmiral, France","{'address': 'Castelnau-de-Montmiral, Tarn, Occitanie', 'location': {'x': 1.820093668, 'y': 43.965591832}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 1.745093668, 'ymin': 43.890591832, 'xmax': 1.895093668, 'ymax': 44.040591832}}"
"Carluke, South Lanarkshire","{'address': 'Carluke, Lanarkshire, Scotland', 'location': {'x': -3.840259944, 'y': 55.734842169}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -3.860259944, 'ymin': 55.714842169, 'xmax': -3.820259944, 'ymax': 55.754842169}}"
"Wilmington, Delaware","{'address': 'Wilmington, Delaware', 'location': {'x': -75.5451003, 'y': 39.7444318}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -75.5971003, 'ymin': 39.6924318, 'xmax': -75.4931003, 'ymax': 39.7964318}}"
"University of Linköping, Sweden","{'address': 'University', 'location': {'x': 15.5718, 'y': 58.4003}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 15.5668, 'ymin': 58.3953, 'xmax': 15.5768, 'ymax': 58.4053}}"
"Crest, France","{'address': 'Crest, Drôme, Auvergne-Rhône-Alpes', 'location': {'x': 5.024001207, 'y': 44.728372381}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 4.989001207, 'ymin': 44.693372381, 'xmax': 5.059001207, 'ymax': 44.763372381}}"
"Macleod, Victoria","{'address': 'Macleod, Banyule, Victoria', 'location': {'x': 145.072207725, 'y': -37.722751242}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 145.056207725, 'ymin': -37.738751242, 'xmax': 145.088207725, 'ymax': -37.706751242}}"
Roehampton Institute,"{'address': 'Hampton Institute', 'location': {'x': -76.33908, 'y': 37.02}, 'score': 85, 'attributes': {}, 'extent': {'xmin': -76.34408, 'ymin': 37.015, 'xmax': -76.33408, 'ymax': 37.025}}"
"University of Washington, Seattle & Paris","{'address': 'University, Seattle, Washington', 'location': {'x': -122.30985, 'y': 47.66649}, 'score': 93.16, 'attributes': {}, 'extent': {'xmin': -122.32185, 'ymin': 47.65449, 'xmax': -122.29785, 'ymax': 47.67849}}"
